Match Flag,Title,RatID,Substance,Concentration,Condition,Age,RaterFN,Rater,DataFlag1,DataFlag2,Observation date,Media file,Total Hedonic (-MM),Total Aversive,?,cr,fe,ff,g,hs,ltp,mm,o,pd,pl,pp,start,tp,Run Date,DataFlag3,Obs Title,Date Assigned,Date Due,Randomizer,Notes,Intercept BLUP (RAW),Slope BLUP (RAW),[Model Intercept Estimate],[Age*Day b],MAC,ROC,BEC (mg/dL),Residual BEC (mg/dL),Max g.kg Last 10 Sessions,Drinking Level,TOTAL ETOH Swap Consumed (g/kg),Total ETOH Consumed Extreme Quartiles,Total Ethanol Consumed All Quartiles,Total ETOH Consumed Median Split,Max g/kg Last 10 Extreme Quartiles,Max g/kg Last 10 All Quartiles,Max g/kg Last 10 Median Split,Mean(ETOH Swap Consumed (g/kg)),BLUP,Estimate,MAC3,ROC3,1/Root(BEC),g/kg EtOH Consumed
3,17944,1,Water2,0,EtOH,Adolescent,TJ,TW,wk9,i,3/30/2019 21:18,C:/Users/Kiersten/Google Drive/Grad/Lab/Projects/Phase I Projects - Running/Masters/Taste Reactivity/Scoring/ABHV - TJ/Week 9 - Mar 24 - Due Mar 31/17944.MP4,209,7,0,0,0,0,7,0,0,0,0,0,0,0,0,209,4/21/2018,,ABHV TR 17944 TW  wk9 i,22-Mar,31-Mar,52,,-0.4145843,-0.0741556,0.5939055,-0.03699,0.17932121,-0.1111456,11.8,-3.627052942,16.508125,Heavy,43.01090439,,3rd Q,High,Low,4th Q,High,2.688181525,-0.565122029,Intercept,-0.113122029,-0.095599093,0.291111255,0.35136
3,17941,1,Sucrose,0.34,EtOH,Adolescent,TJ,TW,wk7,i,3/14/2019 20:48,C:/Users/Kiersten/Google Drive/Grad/Lab/Projects/Phase I Projects - Running/Masters/Taste Reactivity/Scoring/ABHV - TJ/Week 7 - Mar 8 - Due Mar 17/17941.MP4,23,18,0,0,0,0,3,0,0,0,0,15,0,0,1,23,4/18/2018,,ABHV TR 17941 TW  wk7 i,10-Mar,17-Mar,90,,-0.4145843,-0.0741556,0.5939055,-0.03699,0.17932121,-0.1111456,11.8,-3.627052942,16.508125,Heavy,43.01090439,,3rd Q,High,Low,4th Q,High,2.688181525,-0.565122029,Intercept,-0.113122029,-0.095599093,0.291111255,0.35136
3,17942,1,Sucrose,3.4,EtOH,Adolescent,Chase,CC,wk1,i,2/9/2019 12:21,/Users/admin/Downloads/17942.MP4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,4/19/2018,,ABHV TR 17942 CC  wk1 i,3-Feb,10-Feb,20,,-0.4145843,-0.0741556,0.5939055,-0.03699,0.17932121,-0.1111456,11.8,-3.627052942,16.508125,Heavy,43.01090439,,3rd Q,High,Low,4th Q,High,2.688181525,-0.565122029,Intercept,-0.113122029,-0.095599093,0.291111255,0.35136
3,17943,1,Sucrose,34,EtOH,Adolescent,TJ,TW,wk2,i,2/4/2019 20:00,C:/Users/Kiersten/Google Drive/Grad/Lab/Projects/Phase I Projects - Running/Masters/Taste Reactivity/Scoring/ABHV - TJ/Week 2 - Feb 3 - Due Feb 10/17943.MP4,306,28,0,0,0,0,28,0,0,0,0,0,0,0,1,306,4/20/2018,,ABHV TR 17943 TW  wk2 i,2-Feb,10-Feb,1,,-0.4145843,-0.0741556,0.5939055,-0.03699,0.17932121,-0.1111456,11.8,-3.627052942,16.508125,Heavy,43.01090439,,3rd Q,High,Low,4th Q,High,2.688181525,-0.565122029,Intercept,-0.113122029,-0.095599093,0.291111255,0.35136
3,17938,1,Ethanol,5,EtOH,Adolescent,TJ,TW,wk3,i,2/11/2019 19:16,C:/Users/Kiersten/Google Drive/Grad/Lab/Projects/Phase I Projects - Running/Masters/Taste Reactivity/Scoring/ABHV - TJ/Week 3 - Feb 10 - Due Feb 17/17938.MP4,176,5,0,0,0,0,4,1,0,0,0,0,0,0,1,176,4/15/2018,,ABHV TR 17938 TW  wk3 i,10-Feb,17-Feb,1,,-0.4145843,-0.0741556,0.5939055,-0.03699,0.17932121,-0.1111456,11.8,-3.627052942,16.508125,Heavy,43.01090439,,3rd Q,High,Low,4th Q,High,2.688181525,-0.565122029,Intercept,-0.113122029,-0.095599093,0.291111255,0.35136
3,17939,1,Ethanol,20,EtOH,Adolescent,Chase,CC,wk1,i,2/12/2019 16:27,/Users/admin/Downloads/17939.MP4,51,8,0,0,0,0,8,0,0,0,0,0,0,0,1,51,4/16/2018,,ABHV TR 17939 CC  wk1 i,3-Feb,10-Feb,6,,-0.4145843,-0.0741556,0.5939055,-0.03699,0.17932121,-0.1111456,11.8,-3.627052942,16.508125,Heavy,43.01090439,,3rd Q,High,Low,4th Q,High,2.688181525,-0.565122029,Intercept,-0.113122029,-0.095599093,0.291111255,0.35136
3,17940,1,Ethanol,40,EtOH,Adolescent,Chase,CC,wk6,i,3/24/2019 14:31,/Users/admin/Downloads/17940.MP4,2,20,0,0,0,0,4,0,0,0,0,16,0,0,1,2,4/17/2018,,ABHV TR 17940 CC  wk6 i,17-Mar,24-Mar,96,,-0.4145843,-0.0741556,0.5939055,-0.03699,0.17932121,-0.1111456,11.8,-3.627052942,16.508125,Heavy,43.01090439,,3rd Q,High,Low,4th Q,High,2.688181525,-0.565122029,Intercept,-0.113122029,-0.095599093,0.291111255,0.35136
3,17976,2,Water2,0,EtOH,Adolescent,TJ,TW,wk9,i,3/30/2019 20:14,C:/Users/Kiersten/Google Drive/Grad/Lab/Projects/Phase I Projects - Running/Masters/Taste Reactivity/Scoring/ABHV - TJ/Week 9 - Mar 24 - Due Mar 31/17976.MP4,168,2,0,0,0,0,0,0,0,0,0,0,0,2,0,168,4/21/2018,,ABHV TR 17976 TW  wk9 i,22-Mar,31-Mar,47,came 30 seconds early,0.60662296,-0.0123334,0.5939055,-0.03699,1.20052846,-0.0493234,21.8,-14.26054318,5.71193617,Middle,61.50125884,High,4th Q,High,,3rd Q,High,3.843828678,0.634084078,Intercept,1.086084078,-0.036744589,0.214176468,1.120994764
3,17969,2,Water1,0,EtOH,Adolescent,Chase,CC,wk1,i,2/9/2019 12:57,/Users/admin/Downloads/17969.MP4,117,3,0,0,0,0,3,0,0,0,0,0,0,0,1,117,4/14/2018,,ABHV TR 17969 CC  wk1 i,3-Feb,10-Feb,16,came 30 seconds early,0.60662296,-0.0123334,0.5939055,-0.03699,1.20052846,-0.0493234,21.8,-14.26054318,5.71193617,Middle,61.50125884,High,4th Q,High,,3rd Q,High,3.843828678,0.634084078,Intercept,1.086084078,-0.036744589,0.214176468,1.120994764
3,17973,2,Sucrose,34,EtOH,Adolescent,Chase,CC,wk4,i,3/3/2019 14:55,/Users/admin/Downloads/17973.MP4,159,4,0,0,0,0,4,0,0,0,0,0,0,0,1,159,4/18/2018,,ABHV TR 17973 CC  wk4 i,24-Feb,3-Mar,66,came 30 seconds early,0.60662296,-0.0123334,0.5939055,-0.03699,1.20052846,-0.0493234,21.8,-14.26054318,5.71193617,Middle,61.50125884,High,4th Q,High,,3rd Q,High,3.843828678,0.634084078,Intercept,1.086084078,-0.036744589,0.214176468,1.120994764
3,17974,2,Sucrose,3.4,EtOH,Adolescent,Joanne,JG,wk2,i,2/16/2019 22:55,C:/Users/BNEURO01/Downloads/17974.MP4,211,2,0,0,0,0,2,0,0,0,0,0,0,0,1,211,4/19/2018,,ABHV TR 17974 JG  wk2 i,10-Feb,17-Feb,32,came 30 seconds early,0.60662296,-0.0123334,0.5939055,-0.03699,1.20052846,-0.0493234,21.8,-14.26054318,5.71193617,Middle,61.50125884,High,4th Q,High,,3rd Q,High,3.843828678,0.634084078,Intercept,1.086084078,-0.036744589,0.214176468,1.120994764
3,17975,2,Sucrose,0.34,EtOH,Adolescent,Mateo,MS,wk5,i,3/19/2019 23:11,C:/Users/Mateo/Google Drive/ABHV - Mateo/Week 5 - Mar 3 - Due Mar 8/17975.MP4,70,2,0,0,0,0,0,2,0,0,0,0,0,0,0,70,4/20/2018,,ABHV TR 17975 MS  wk5 i,3-Mar,8-Mar,72,came 30 seconds early,0.60662296,-0.0123334,0.5939055,-0.03699,1.20052846,-0.0493234,21.8,-14.26054318,5.71193617,Middle,61.50125884,High,4th Q,High,,3rd Q,High,3.843828678,0.634084078,Intercept,1.086084078,-0.036744589,0.214176468,1.120994764
3,17970,2,Ethanol,5,EtOH,Adolescent,Mateo,MS,wk2,i,2/17/2019 17:13,C:/Users/Mateo/Google Drive/ABHV - Mateo/Week 2 - Feb 10 - Due Feb 17/17970.MP4,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,4/15/2018,,ABHV TR 17970 MS  wk2 i,10-Feb,17-Feb,24,came 30 seconds early,0.60662296,-0.0123334,0.5939055,-0.03699,1.20052846,-0.0493234,21.8,-14.26054318,5.71193617,Middle,61.50125884,High,4th Q,High,,3rd Q,High,3.843828678,0.634084078,Intercept,1.086084078,-0.036744589,0.214176468,1.120994764
3,17971,2,Ethanol,20,EtOH,Adolescent,Joanne,JG,wk3,i,2/23/2019 20:46,C:/Users/BNEURO01/Downloads/17971.MP4,225,0,0,0,0,0,0,0,0,0,0,0,0,0,1,225,4/16/2018,,ABHV TR 17971 JG  wk3 i,17-Feb,24-Feb,46,came 30 seconds early,0.60662296,-0.0123334,0.5939055,-0.03699,1.20052846,-0.0493234,21.8,-14.26054318,5.71193617,Middle,61.50125884,High,4th Q,High,,3rd Q,High,3.843828678,0.634084078,Intercept,1.086084078,-0.036744589,0.214176468,1.120994764
3,17972,2,Ethanol,40,EtOH,Adolescent,TJ,TW,wk6,i,3/10/2019 13:58,C:/Users/Kiersten/Google Drive/Grad/Lab/Projects/Phase I Projects - Running/Masters/Taste Reactivity/Scoring/ABHV - TJ/Week 6 - Mar 3 - Due Mar 8/17972.MP4,164,22,0,1,1,3,16,0,0,0,0,1,0,0,0,164,4/17/2018,,ABHV TR 17972 TW  wk6 i,3-Mar,10-Mar,68,came 30 seconds early,0.60662296,-0.0123334,0.5939055,-0.03699,1.20052846,-0.0493234,21.8,-14.26054318,5.71193617,Middle,61.50125884,High,4th Q,High,,3rd Q,High,3.843828678,0.634084078,Intercept,1.086084078,-0.036744589,0.214176468,1.120994764
3,18008,3,Water2,0,EtOH,Adolescent,Mykenzi,MA,wk7,i,3/30/2019 20:59,C:/Users/myken/Documents/K-State Homework/Cain Lab/BORIS/cache/3.24.19/18008.MP4,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,4/21/2018,,ABHV TR 18008 MA  wk7 i,22-Mar,31-Mar,9,,1.5928595,-0.1337646,0.5939055,-0.03699,2.186765,-0.1707546,18.3,5.322248806,4.96767207,Low,79.42103256,High,4th Q,High,,3rd Q,High,4.963814535,1.820610889,Intercept,2.272610889,-0.219276042,0.233762291,0.567931035
3,18001,3,Water1,0,EtOH,Adolescent,Chase,CC,wk3,i,2/24/2019 17:00,/Users/admin/Downloads/18001.MP4,136,0,0,0,0,0,0,0,0,0,0,0,0,0,1,136,4/14/2018,,ABHV TR 18001 CC  wk3 i,17-Feb,24-Feb,45,,1.5928595,-0.1337646,0.5939055,-0.03699,2.186765,-0.1707546,18.3,5.322248806,4.96767207,Low,79.42103256,High,4th Q,High,,3rd Q,High,4.963814535,1.820610889,Intercept,2.272610889,-0.219276042,0.233762291,0.567931035
3,18005,3,Sucrose,0.34,EtOH,Adolescent,Jared,JR,wk1,i,2/10/2019 21:03,D:/Boris videos/020319/18005.MP4,126,1,0,0,0,0,0,0,0,0,1,1,0,0,1,126,4/18/2018,,ABHV TR 18005 JR  wk1 i,3-Feb,10-Feb,21,,1.5928595,-0.1337646,0.5939055,-0.03699,2.186765,-0.1707546,18.3,5.322248806,4.96767207,Low,79.42103256,High,4th Q,High,,3rd Q,High,4.963814535,1.820610889,Intercept,2.272610889,-0.219276042,0.233762291,0.567931035
